

SELECT 1762
SELECT 7
SELECT 3390
SELECT 3390
CREATE VIEW
Applied Materials Inc,AMAT,99,Information Technology,2016-12-30,32.27,42,1721000000,14588000000,7371000000,1.56
Becton Dickinson,BDX,217,Health Care,2016-12-30,165.550003,48,976000000,25586000000,17953000000,4.59
D. R. Horton,DHI,459,Consumer Discretionary,2016-12-30,27.33,22,886300000,11558900000,4766400000,2.39
The Walt Disney Company,DIS,467,Consumer Discretionary,2016-12-30,104.220001,46,9391000000,92033000000,48768000000,5.76
FedEx Corporation,FDX,631,Industrials,2016-12-30,186.199997,66,1820000000,46064000000,32280000000,6.59
McKesson Corp.,MCK,1042,Health Care,2016-12-30,140.449997,6,2258000000,56563000000,47639000000,9.82
News Corp. Class A,NWSA,1199,Consumer Discretionary,2016-12-30,11.46,100,179000000,15483000000,3899000000,0.3
QUALCOMM Inc.,QCOM,1334,Information Technology,2016-12-30,65.199997,59,5705000000,52359000000,20581000000,3.84
JM Smucker,SJM,1413,Consumer Staples,2016-12-30,128.059998,38,688700000,15984100000,8975600000,5.77
Constellation Brands,STZ,1465,Consumer Staples,2016-12-30,153.309998,45,1054900000,16965000000,10405400000,
